Strake_ID h d1 d2 t β g h i
101 600 4145.0 4145.0 50 0 41.45 1.86 0.045
102 2319 4145.0 4257.9 13 0.02434 161.64 14.03 0.087
103 2569 4257.9 4393.4 13 0.02637 166.43 15.32 0.092
104 2684 4393.4 4535.1 14 0.02639 159.49 15.19 0.095
105 2675 4535.1 4676.2 14 0.02637 164.54 14.90 0.091
106 2416 4676.2 4803.7 14 0.02638 169.34 13.27 0.078
107 2657 4803.7 4943.9 14 0.02638 174.12 14.39 0.083
108 2648 4943.9 5083.7 15 0.02639 167.18 13.66 0.082
109 2639 5083.7 5222.9 15 0.02637 171.84 13.43 0.078
110 2630 5222.9 5361.7 15 0.02638 176.47 13.20 0.075
111 2621 5361.7 5500.0 15 0.02638 181.09 12.99 0.072
112 2068 5500.0 5500.0 15 0 183.33 10.18 0.056
113 2067 5500.0 5500.0 16 0 171.88 9.85 0.057
114 2368 5500.0 5500.0 16 0 171.88 11.29 0.066
115 2897 5500.0 5500.0 17 0 161.76 13.40 0.083
116 142 5500.0 5500.0 17 0 161.76 0.66 0.004
